newsgroup,message_id_hash,replacement_char_count,nb_body_length,matched_similarity,shuffled_similarity
no.ai,0debfbac2b14b784,12,705,0.9937584194894751,0.2555334788554994
no.ai,117de86fa437fa76,2,140,0.9904247104836806,0.06656696967284009
no.ai,1298caf112c8cbae,28,880,0.9842447633419362,0.488533839578982
no.ai,13d5ac298d332c56,29,1635,0.9793315874101715,0.3930774375594912
no.ai,14fef30edb07a1b8,6,433,0.9331759761636743,0.15415388533727303
no.ai,164942b114eb23ee,2,828,0.99943733443266,0.47869297016347623
no.ai,1d2e410b5013cfbc,28,1334,0.9925736486328434,0.46031155753320335
no.ai,202914214bebf6cb,9,485,0.9806552001551289,0.2484260111541878
no.ai,21a6abb620695cec,15,915,0.9804554298868781,0.16830182168355262
no.ai,2fab2999bd24043d,7,610,0.993414494525544,0.16527968399698834
no.ai,334f912bbff9a48e,8,337,0.9830997396789637,0.5137353867456358
no.ai,4604a3336a182c37,14,494,0.9780302844786702,0.29996657389567327
no.ai,4655906211d6c9ca,1,1096,0.9999999999999998,0.39249550401904454
no.ai,50c2be546f276985,36,2155,0.9832205820462434,0.2765610809531697
no.ai,574ab9edee545191,27,1493,0.9930341072560519,0.5482662339395227
no.ai,5901e639db7df1a3,1,413,0.9992832185474817,0.6755199691716589
no.ai,666dcfa1c13e8594,6,489,0.9950945845319109,0.3348073372270967
no.ai,6a1187d925d2b0da,2,617,0.9992466620968676,0.2867445800024294
no.ai,71e203a201c80565,18,1443,0.9879517565618587,0.3284973532452947
no.ai,73b3d8ec260a728a,3,291,0.9990566027481602,0.3118890584352498
no.ai,748bf51203f66663,2,88,0.9396415530985875,0.2151661020428624
no.ai,78f5d2eb31267b38,24,1356,0.9909925866526649,0.41949838276278517
no.ai,7b83514e47c1f900,2,255,0.9950190724880643,0.5080714775024429
no.ai,85ba6d8ef5e085f7,18,622,0.9810265788780318,0.3087594153467114
no.ai,8b436cf2b88567d2,10,284,0.9416334288440351,0.13749872095533
no.ai,8ff5d07dbfa58218,20,1329,0.9784714343453936,0.29415413236373217
no.ai,913127183a7d56cc,13,802,0.9850200190856346,0.221261138947448
no.ai,920f8faa53024945,42,2048,0.98754453509636,0.5452441991392611
no.ai,92dd5c903177901d,5,128,0.9356833194572531,0.2777933380507892
no.ai,92f175275985f922,9,672,0.9906564539913064,0.44593473921090854
no.ai,a470beb381e91201,11,272,0.944366197310306,0.4273729443539349
no.ai,a9f8fa3e4d6a5411,1,166,0.9431653771584976,0.3570126009099986
no.ai,cd9eddd89dc0fd85,8,288,0.9846931757750113,0.16826730529284617
no.ai,d299c66cbe959d82,4,513,0.9941305615084184,0.3808476484374124
no.ai,d8e15c059d8b981c,1,1298,1.0,0.4675589557821406
no.ai,db004c412e4e161a,8,237,0.9806774831475792,0.17066147155163894
no.ai,e37bc92d63b3d6a0,5,525,0.994339045671082,0.5077587213364911
