newsgroup,message_id_hash,replacement_char_count,nb_body_length,matched_similarity,shuffled_similarity
no.ai,0debfbac2b14b784,12,705,0.9791685377338235,0.19610374005942124
no.ai,117de86fa437fa76,2,140,0.9339398562318141,0.17243264970320488
no.ai,1298caf112c8cbae,28,880,0.9790081964340996,0.32119665102387673
no.ai,13d5ac298d332c56,29,1635,0.9838429813849049,0.25730288583206257
no.ai,14fef30edb07a1b8,6,433,0.9600248001542508,0.1330119941265215
no.ai,164942b114eb23ee,2,828,0.9933097911161407,0.2372078125271773
no.ai,1d2e410b5013cfbc,28,1334,0.9769782231119396,0.3459943867817272
no.ai,202914214bebf6cb,9,485,0.9454686671863586,0.3329370384903452
no.ai,21a6abb620695cec,15,915,0.967312899898538,0.08375339588415784
no.ai,2fab2999bd24043d,7,610,0.9388372537604134,0.1383549828132433
no.ai,334f912bbff9a48e,8,337,0.9654429145632034,0.36028940462425063
no.ai,4604a3336a182c37,14,494,0.9318679553092576,0.4041448063914257
no.ai,4655906211d6c9ca,1,1096,0.9976424684535673,0.17622573237902533
no.ai,50c2be546f276985,36,2155,0.9805451106106383,0.1105187051671649
no.ai,574ab9edee545191,27,1493,0.9758711033684373,0.2661889018757461
no.ai,5901e639db7df1a3,1,413,0.9933976769246009,0.5686727155241006
no.ai,666dcfa1c13e8594,6,489,0.9805924336750184,0.23962880166030354
no.ai,6a1187d925d2b0da,2,617,0.9926314094603733,0.09456088730657711
no.ai,71e203a201c80565,18,1443,0.9746028580878852,0.4069251427708601
no.ai,73b3d8ec260a728a,3,291,0.9920085755807686,0.2676991380999052
no.ai,748bf51203f66663,2,88,0.9475956884586839,0.1947617539588999
no.ai,78f5d2eb31267b38,24,1356,0.9711970479106103,0.17104591503011743
no.ai,7b83514e47c1f900,2,255,0.9826407430358156,0.24489117236928717
no.ai,85ba6d8ef5e085f7,18,622,0.96723248518494,0.04396761220552491
no.ai,8b436cf2b88567d2,10,284,0.9546351805263682,0.15328980921180688
no.ai,8ff5d07dbfa58218,20,1329,0.9804529428508745,0.28308993985608116
no.ai,913127183a7d56cc,13,802,0.969459115982157,0.06884097923676198
no.ai,920f8faa53024945,42,2048,0.9772279535268018,0.1379620389608836
no.ai,92dd5c903177901d,5,128,0.8916146799227678,0.15260811947424868
no.ai,92f175275985f922,9,672,0.9831952255765674,0.26339330263717153
no.ai,a470beb381e91201,11,272,0.9353636307735659,0.18968449084447073
no.ai,a9f8fa3e4d6a5411,1,166,0.9801075474864861,0.4121724119808473
no.ai,cd9eddd89dc0fd85,8,288,0.9419966456469472,0.22058134131813328
no.ai,d299c66cbe959d82,4,513,0.9837104132167606,0.2316256244694317
no.ai,d8e15c059d8b981c,1,1298,0.9929073266533404,0.32777641541767244
no.ai,db004c412e4e161a,8,237,0.8984961368234243,0.29377766145944295
no.ai,e37bc92d63b3d6a0,5,525,0.9869683498529349,0.3976654225106075
