newsgroup,message_id_hash,replacement_char_count,nb_body_length,matched_similarity,shuffled_similarity
no.ai,0debfbac2b14b784,12,705,0.9852656218963569,0.5996517610446797
no.ai,117de86fa437fa76,2,140,0.985015428694247,0.6392271404626544
no.ai,1298caf112c8cbae,28,880,0.9855146099672789,0.6884777309909116
no.ai,13d5ac298d332c56,29,1635,0.9646106021321984,0.5823752256416435
no.ai,14fef30edb07a1b8,6,433,0.9893190597370545,0.5838233812697478
no.ai,164942b114eb23ee,2,828,0.9972282373499509,0.7353794761523322
no.ai,1d2e410b5013cfbc,28,1334,0.9792878257028683,0.6562859395098602
no.ai,202914214bebf6cb,9,485,0.9761651155021236,0.6448215158234412
no.ai,21a6abb620695cec,15,915,0.9714272134852597,0.6270127117389994
no.ai,2fab2999bd24043d,7,610,0.9881010434968943,0.5623779855999339
no.ai,334f912bbff9a48e,8,337,0.9812111286078291,0.7638986635814095
no.ai,4604a3336a182c37,14,494,0.9736905139476459,0.7171534578674987
no.ai,4655906211d6c9ca,1,1096,0.9983307915795262,0.6185003829294448
no.ai,50c2be546f276985,36,2155,0.96223119719609,0.5735437547139186
no.ai,574ab9edee545191,27,1493,0.9686835773747079,0.5847466953114299
no.ai,5901e639db7df1a3,1,413,0.9984014935587217,0.7576713696972726
no.ai,666dcfa1c13e8594,6,489,0.9893855575463407,0.6562069385626327
no.ai,6a1187d925d2b0da,2,617,0.9951668292472121,0.6055414186808904
no.ai,71e203a201c80565,18,1443,0.9673266033903706,0.6601879395493416
no.ai,73b3d8ec260a728a,3,291,0.992880771240915,0.7178386313187998
no.ai,748bf51203f66663,2,88,0.9674569554074991,0.6000536318930132
no.ai,78f5d2eb31267b38,24,1356,0.979587098110873,0.6621454273340693
no.ai,7b83514e47c1f900,2,255,0.9948476250222935,0.6912260767766409
no.ai,85ba6d8ef5e085f7,18,622,0.9520537096730903,0.6018501204686916
no.ai,8b436cf2b88567d2,10,284,0.9624669335456105,0.6101966178198635
no.ai,8ff5d07dbfa58218,20,1329,0.9727419534592395,0.6254099383164814
no.ai,913127183a7d56cc,13,802,0.9842337242372551,0.6432296109237634
no.ai,920f8faa53024945,42,2048,0.9618606187601606,0.572562478070131
no.ai,92dd5c903177901d,5,128,0.9531475964429389,0.627883539205144
