newsgroup,message_id_hash,replacement_char_count,nb_body_length,matched_similarity,shuffled_similarity
no.ai,0debfbac2b14b784,12,705,0.9992590118867382,0.3897179982226183
no.ai,117de86fa437fa76,2,140,0.9952113911988559,0.520562362080096
no.ai,1298caf112c8cbae,28,880,0.9967006141721311,0.5624324761004551
no.ai,13d5ac298d332c56,29,1635,0.9931186581408274,0.47529517751507117
no.ai,14fef30edb07a1b8,6,433,0.9958957841837743,0.44790611493960025
no.ai,164942b114eb23ee,2,828,0.9947440740200514,0.5368431600187592
no.ai,1d2e410b5013cfbc,28,1334,0.9983635735610412,0.6490338445330694
no.ai,202914214bebf6cb,9,485,0.992340157483622,0.5750875796902355
no.ai,21a6abb620695cec,15,915,0.9964531515127072,0.4966043209194235
no.ai,2fab2999bd24043d,7,610,0.9900363553765021,0.5836357422645305
no.ai,334f912bbff9a48e,8,337,0.9946339698536599,0.7800270138492844
no.ai,4604a3336a182c37,14,494,0.9698649269253264,0.6609583858057986
no.ai,4655906211d6c9ca,1,1096,0.9996657619971283,0.4627243562771826
no.ai,50c2be546f276985,36,2155,0.9980596733767565,0.5057962744162311
no.ai,574ab9edee545191,27,1493,0.9987760553415741,0.5943860912295841
no.ai,5901e639db7df1a3,1,413,0.9995144261901884,0.8537234821250332
no.ai,666dcfa1c13e8594,6,489,0.9952167084624086,0.4918468828422217
no.ai,6a1187d925d2b0da,2,617,0.9999129299903662,0.4032902957387031
no.ai,71e203a201c80565,18,1443,0.9990685541398322,0.5158255620617825
no.ai,73b3d8ec260a728a,3,291,0.9966165105677579,0.6384641822622171
no.ai,748bf51203f66663,2,88,0.9834936120638088,0.6125842246562895
no.ai,78f5d2eb31267b38,24,1356,0.9952636145827135,0.6478727520336447
no.ai,7b83514e47c1f900,2,255,0.9987090296446409,0.6389521602816169
no.ai,85ba6d8ef5e085f7,18,622,0.9968984444284524,0.5744874194201673
no.ai,8b436cf2b88567d2,10,284,0.9947833212012831,0.5562973972264433
no.ai,8ff5d07dbfa58218,20,1329,0.9972063489673636,0.5499960881761696
no.ai,913127183a7d56cc,13,802,0.997818039994297,0.42271435768112875
no.ai,920f8faa53024945,42,2048,0.9985493580591612,0.5478498126108503
no.ai,92dd5c903177901d,5,128,0.9854960890372809,0.5836621738895891
no.ai,92f175275985f922,9,672,0.9987194564077778,0.5750073233173114
no.ai,a470beb381e91201,11,272,0.990800848713827,0.5512323425717476
no.ai,a9f8fa3e4d6a5411,1,166,0.9972047208382236,0.5639732714356601
no.ai,cd9eddd89dc0fd85,8,288,0.9858650997645705,0.5872096885886492
no.ai,d299c66cbe959d82,4,513,0.997251680782684,0.5267864422215955
no.ai,d8e15c059d8b981c,1,1298,0.9991286524654589,0.7418038997932067
no.ai,db004c412e4e161a,8,237,0.9872666159923051,0.5881962712498082
no.ai,e37bc92d63b3d6a0,5,525,0.994312105118195,0.7372347438210772
no.ai,e3d038e5c245fdec,31,1264,0.9976750860544953,0.6414469190032147
no.ai,eb7f9823513115d9,1,435,0.9997821269253644,0.4189781783003368
